estimatedExpiredInML,updatePolicyHitRatioAccordingtoBudget,updatePolicyWindowHitRatio,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
,43,5.0,5.0,22.0,22.0 
,40,5.0,5.0,22.0,22.0 
,42,10.0,10.0,41.0,41.0 
,44,9.0,9.0,41.0,41.0 
,38,9.0,8.0,41.0,40.0 
,37,9.0,8.0,46.0,45.0 
,34,8.0,8.0,48.0,48.0 
,33,9.0,9.0,48.0,48.0 
,32,9.0,8.0,48.0,47.0 
,35,12.0,11.0,61.0,60.0 
,33,11.0,9.0,60.0,58.0 
,30,7.0,7.0,58.0,58.0 
,39,14.0,14.0,81.0,81.0 
,39,14.0,14.0,81.0,81.0 
,37,13.0,13.0,81.0,81.0 
,32,13.0,13.0,88.0,88.0 
,36,15.0,13.0,96.0,94.0 
,38,14.0,13.0,94.0,93.0 
,31,11.0,10.0,93.0,92.0 
,31,11.0,11.0,103.0,103.0 
,28,11.0,10.0,103.0,102.0 
,31,11.0,10.0,102.0,101.0 
,29,9.0,8.0,109.0,108.0 
,32,9.0,9.0,108.0,108.0 
,34,12.0,12.0,108.0,108.0 
,33,15.0,14.0,119.0,118.0 
,34,15.0,14.0,118.0,117.0 
,37,16.0,15.0,117.0,116.0 
,37,17.0,16.0,119.0,118.0 
,35,17.0,16.0,123.0,122.0 
,33,16.0,15.0,122.0,121.0 
,36,19.0,18.0,121.0,120.0 
,37,20.0,19.0,131.0,130.0 
,37,19.0,18.0,130.0,129.0 
,33,15.0,14.0,129.0,128.0 
,32,14.0,13.0,134.0,133.0 
,34,14.0,14.0,133.0,133.0 
,34,14.0,14.0,133.0,133.0 
,32,14.0,13.0,139.0,138.0 
,34,15.0,14.0,142.0,141.0 
,39,18.0,17.0,141.0,140.0 
,39,18.0,17.0,140.0,139.0 
,44,20.0,20.0,148.0,148.0 
,43,20.0,18.0,148.0,146.0 
,46,22.0,21.0,146.0,145.0 
,42,22.0,20.0,155.0,153.0 
,35,15.0,14.0,153.0,152.0 
,33,14.0,14.0,152.0,152.0 
,29,13.0,12.0,158.0,157.0 
,29,14.0,13.0,158.0,157.0 
